recipe_id,name,ingredients,instructions,sodium_mg,sugar_g,calories,carbs_g,protein_g,fiber_g,fat_total_g,fat_saturated_g,potassium_mg,iron_mg,meal_type,tags,is_diabetic_safe,is_hypertensive_safe,is_cholesterol_safe,image_url
1,Red Red (Bean Stew),Black-eyed peas; Palm oil; Onion; Plantain,Soak beans; Boil till soft; Fry plantain in oil; Mix beans with stew base.,580,18.0,511,40.0,33.7,14.5,24.0,9.5,850,5.2,Lunch,Vegetarian High-Fiber,0,0,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714309/1_lhhqxq.jpg
2,Banku and Grilled Tilapia,Corn dough; Cassava dough; Tilapia; Pepper,Mix doughs with water; Cook vigorously; Grill fish; Serve with shito/pepper.,420,2.0,586,72.7,44.1,3.5,13.2,3.0,450,2.1,Dinner,High-Protein Gluten-Free,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714308/2_h3g9gg.jpg
3,Fufu and Goat Light Soup,Cassava; Plantain; Goat meat; Garden eggs,Boil cassava and plantain; Pound together; Boil meat with spices; Combine.,650,5.0,662,88.6,36.4,4.0,18.0,6.5,600,3.8,Lunch,Traditional High-Calorie,1,0,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714308/3_mpqthq.jpg
4,Garden Egg Stew with Yam,Garden eggs; Palm oil; Koobi; Yam,Boil garden eggs and mash; Fry onions and koobi; Mix; Boil yam separately.,290,6.0,513,81.8,15.0,9.2,14.0,5.5,720,1.8,Lunch,Low-Sodium Vegetable-Rich,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714308/4_cbluwm.jpg
5,Waakye with Shito,Rice; Black-eyed peas; Sorghum leaves; Oil,Boil beans with sorghum; Add rice; Cook together; Serve with shito.,480,3.0,364,40.0,15.0,11.0,16.0,4.0,510,4.5,Breakfast,High-Fiber Street-Food,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714308/5_ybktzx.webp
6,Tuzaafi (TZ) and Ayoyo,Corn flour; Cassava flour; Ayoyo leaves; Dawadawa,Cook flour into soft paste; Boil ayoyo leaves with dawadawa; Serve hot.,150,1.0,292,40.0,15.0,6.5,8.0,1.5,300,5.5,Dinner,Low-Sodium Diabetic-Friendly,1,1,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714308/6_cttkdc.jpg
7,Kenkey and Fried Fish,Fermented corn dough; Fried fish; Pepper; Onion,Steam fermented dough in corn husks; Deep fry fish; Grind pepper.,410,1.5,627,70.8,36.4,4.0,22.0,8.0,380,2.5,Dinner,Traditional Fermented,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714307/7_df596l.jpg
8,Omo Tuo and Groundnut Soup,Rice; Groundnut paste; Chicken; Tomato; Onion,Boil rice soft and mold into balls; Simmer groundnut paste with chicken and tomato base; Serve together.,450,4.0,566,40.0,38.6,2.5,28.0,8.0,600,3.5,Sunday-Special,High-Fat High-Protein,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714307/8_pejgec.webp
9,Boiled Plantain and Kontomire Stew,Plantain; Cocoyam leaves; Melon seeds (Agushi); Palm oil; Smoked fish,Boil plantain (apem); Sauté onion and agushi in palm oil; Add chopped cocoyam leaves and smoked fish; Simmer.,320,12.0,471,61.2,15.0,8.5,18.5,8.0,950,6.5,Lunch,High-Iron Vitamin-Rich,1,1,0,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714304/9_ql4d7p.jpg
10,Jollof Rice with Grilled Chicken,Rice; Tomato paste; Oil; Chicken; Onion; Spices,Fry onion and tomato paste; Add rice and water/stock; Cook till soft; Serve with grilled chicken.,550,4.5,556,68.0,39.6,3.0,14.0,3.5,480,2.8,Lunch;Dinner,Party-Food Traditional,1,0,1,https://res.cloudinary.com/dymibsrs2/image/upload/v1774714304/10_cwifzn.webp
